FamilyTypeName,FamilyCategory,TypeDescription,FamilyName,Articule,ApparentLoad,LightFlux,TemperatureColor,PhotometricWeb,"Кп светового потока, %",CRI,"Длина, мм","Ширина, мм","Высота, мм","Масса, кг",IP,Вид клим. исполнения,"Тэксп. мин, °С","Тэксп. макс, °С","Uпит АС мин, В","Uпит АС макс, В","Uпит АС мин, В","Uпит АС макс, В","Коэф. мощности драйвера, ?",FamilyPath
L-office 32/30/Д/4.0К/02 Standart IP54 (пластик),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3325,4000,Д,?1,82,592,592,57,2.2,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Standart IP54 (пластик),Офисные,Светильник L-office 32 Standart предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.11E+14,30,3325,5000,Д,?1,82,592,592,57,2.2,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/4.0К/02 Standart (металл),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,3869,4000,Д,?1,85,591,591,45,3.5,30,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/4.0К/02 Standart (металл),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,4000,Д,?1,85,591,591,45,3.5,30,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/4.0К/02 Standart EM (металл),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,4000,Д,?1,85,591,591,45,3.5,30,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/5.0К/02 Standart (металл),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,3869,5000,Д,?1,85,591,591,45,3.5,30,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/5.0К/02 Standart (металл),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,5000,Д,?1,85,591,591,45,3.5,30,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/5.0К/02 Standart EM (металл),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,5000,Д,?1,85,591,591,45,3.5,30,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/4.0К/02 Standart (пластик),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,3869,4000,Д,?1,82,592,592,57,2.2,50,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/4.0К/02 Standart (пластик),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,4000,Д,?1,82,592,592,57,2.2,50,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/4.0К/02 Standart EM (пластик),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,4000,Д,?1,85,592,592,57,2.2,50,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/5.0К/02 Standart (пластик),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,3869,5000,Д,?1,82,592,592,57,2.2,50,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/5.0К/02 Standart (пластик),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,5000,Д,?1,82,592,592,57,2.2,50,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/5.0К/02 Standart EM (пластик),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,5000,Д,?1,85,592,592,57,2.2,50,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/4.0К/02 Standart IP54 (металл),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,3869,4000,Д,?1,85,591,591,45,3.5,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/5.0К/02 Standart IP54 (металл),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,3869,5000,Д,?1,85,591,591,45,3.5,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/4.0К/02 Standart IP54 (пластик),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,3869,4000,Д,?1,82,592,592,57,2.2,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/5.0К/02 Standart IP54 (пластик),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,3869,5000,Д,?1,82,592,592,57,2.2,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/4.0К/02 Standart IP54 (металл),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,4000,Д,?1,85,591,591,45,3.5,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/5.0К/02 Standart IP54 (металл),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,5000,Д,?1,85,591,591,45,3.5,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/4.0К/02 Standart IP54 (пластик),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,4000,Д,?1,82,592,592,57,2.2,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/50/Д/5.0К/02 Standart IP54 (пластик),Офисные,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.12E+14,50,5605,5000,Д,?1,82,592,592,57,2.2,54,УХЛ4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Premium (металл),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,4000,Д,?1,82,591,591,45,3.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Premium EM (металл),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,4000,Д,?1,85,591,591,45,3.5,30,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Premium (металл),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,5000,Д,?1,82,591,591,45,3.5,30,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Premium EM (металл),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,5000,Д,?1,85,591,591,45,3.5,30,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Premium (пластик),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,4000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Premium EM (пластик),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,4000,Д,?1,85,592,592,57,2.2,50,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Premium (пластик),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,5000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Premium EM (пластик),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,5000,Д,?1,85,592,592,57,2.2,50,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Premium IP54 (металл),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,4000,Д,?1,82,591,591,45,3.5,54,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Premium IP54 (металл),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,5000,Д,?1,82,591,591,45,3.5,54,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Premium IP54 (пластик),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,4000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/5.0К/02 Premium IP54 (пластик),Офисные,Светильник L-office 32 Premium предназначен для установки в помещениях торгово-офисного и административного назначения.,L-office,1.13E+14,30,3700,5000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/32-48/Д/4.0К/02 Premium (пластик),Офисные,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.14E+14,48,3900,4000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/32-48/Д/4.0К/02 Premium (пластик),Офисные,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.14E+14,48,5700,4000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/48/Д/4.0К/02 Premium EM (пластик),Офисные,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.14E+14,48,5700,4000,Д,?1,85,592,592,57,2.2,50,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/32-48/Д/5.0К/02 Premium (пластик),Офисные,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.14E+14,48,3900,5000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/32-48/Д/5.0К/02 Premium (пластик),Офисные,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.14E+14,48,5700,5000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/48/Д/5.0К/02 Premium EM (пластик),Офисные,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.14E+14,48,5700,5000,Д,?1,85,592,592,57,2.2,50,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/32-48/Д/4.0К/02 Premium IP54 (пластик),Офисные,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.14E+14,48,3900,4000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/32-48/Д/5.0К/02 Premium IP54 (пластик),Офисные,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.14E+14,48,3900,5000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/32-48/Д/4.0К/02 Premium IP54 (пластик),Офисные,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.14E+14,48,5700,4000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 55/32-48/Д/5.0К/02 Premium IP54 (пластик),Офисные,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.).",L-office,1.14E+14,48,5700,5000,Д,?1,82,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Premium S (пластик),Офисные,"Светильник L-office 32 S Premium предназначен для установки в образовательных учреждениях (школьные кабинеты, классы, лекционные аудитории и т.п.).",L-office,1.15E+14,30,2682,4000,Д,?1,85,592,592,57,2.2,50,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-office 32/30/Д/4.0К/02 Premium S EM,Офисные,"Светильник L-office 32 S Premium предназначен для установки в образовательных учреждениях (школьные кабинеты, классы, лекционные аудитории и т.п.).",L-office,1.15E+14,30,2682,4000,Д,?1,85,592,592,57,2.2,50,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-school 16/15/Д/4.0К Standart,Для образовательных учреждений,"Светильник L-school 16 Standart предназначен для установки в школах, больницах, и других общественных помещениях (офисы, кабинеты, торговые залы).",L-office,1.21E+14,15,1800,4000,Д,?1,85,595,200,56.5,1,20,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-school 16/15/Д/4.0К Standart EM,Для образовательных учреждений,"Светильник L-school 16 Standart предназначен для установки в школах, больницах, и других общественных помещениях (офисы, кабинеты, торговые залы).",L-office,1.21E+14,15,1703,4000,Д,?1,85,595,200,56.5,1,20,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-school 16/15/Д/5.0К Standart,Для образовательных учреждений,"Светильник L-school 16 Standart предназначен для установки в школах, больницах, и других общественных помещениях (офисы, кабинеты, торговые залы).",L-office,1.21E+14,15,1800,5000,Д,?1,85,595,200,56.5,1,20,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-school 16/15/Д/5.0К Standart EM,Для образовательных учреждений,"Светильник L-school 16 Standart предназначен для установки в школах, больницах, и других общественных помещениях (офисы, кабинеты, торговые залы).",L-office,1.21E+14,15,1703,5000,Д,?1,85,595,200,56.5,1,20,УХЛ 4.2,10,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-school 16/15/Д/4.0К Standart IP54,Для образовательных учреждений,"Светильник L-school 16 Standart предназначен для установки в школах, больницах, и других общественных помещениях (офисы, кабинеты, торговые залы).",L-office,1.21E+14,15,1800,4000,Д,?1,85,595,200,56.5,1,54,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-school 16/15/Д/5.0К Standart IP54,Для образовательных учреждений,"Светильник L-school 16 Standart предназначен для установки в школах, больницах, и других общественных помещениях (офисы, кабинеты, торговые залы).",L-office,1.21E+14,15,1800,5000,Д,?1,85,595,200,56.5,1,54,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
L-school 32/30/Д/4.0К Standart,Для образовательных учреждений,"Светильник L-school 32 Standart предназначен для установки в образовательных, медицинских и других общественных учреждениях.",L-office,1.22E+14,30,3850,4000,Д,?1,85,1200,200,56.5,1.7,20,УХЛ 4,1,35,140,265,200,250,"?0,95",C:\Users\Admin\Desktop\REVIT_BIM\Revit Family Types\L-banner 600 Sport.rfa
